r b swpd free buff cache si so bi bo in cs us sy id wa st CEST
0 1 0 26 4 389 0 0 4428 6408 14916 29872 23 11 58 8 0 2022-04-17T13:38:41
3 0 0 37 4 383 0 0 948 2900 15325 31045 43 19 33 4 0 2022-04-17T13:38:42
1 0 0 38 4 387 0 0 1200 2624 15683 32530 53 16 27 4 0 2022-04-17T13:38:43
1 1 0 37 4 383 0 0 988 7328 15193 30224 22 11 57 10 0 2022-04-17T13:38:44
4 2 0 39 4 378 0 0 228 6340 14992 30290 21 8 63 8 0 2022-04-17T13:38:45
3 1 0 35 4 385 0 0 256 6424 14806 29583 28 9 55 8 0 2022-04-17T13:38:46
1 0 0 28 4 391 0 0 544 6532 15430 31258 25 10 51 14 0 2022-04-17T13:38:47
0 1 0 27 4 392 0 0 112 7504 14805 29198 20 8 61 12 0 2022-04-17T13:38:48
0 2 0 28 4 390 0 0 196 6340 15687 30946 20 11 58 11 0 2022-04-17T13:38:49
1 0 0 29 4 390 0 0 164 5684 15221 30250 26 10 57 7 0 2022-04-17T13:38:50
0 1 0 27 4 392 0 0 1500 7544 15550 29572 19 10 62 10 0 2022-04-17T13:38:51
0 2 0 63 4 354 0 0 4524 5752 15496 30827 23 9 56 12 0 2022-04-17T13:38:52
0 1 0 52 4 365 0 0 4804 6972 15284 29543 19 8 60 13 0 2022-04-17T13:38:53
1 2 0 39 4 378 0 0 6592 4352 15180 28882 17 7 66 11 0 2022-04-17T13:38:54
1 0 0 28 4 390 0 0 6376 6420 15125 30498 21 8 56 15 0 2022-04-17T13:38:55
2 0 0 31 4 387 0 0 4684 4324 14706 29523 15 10 64 11 0 2022-04-17T13:38:56
1 1 0 25 4 393 0 0 5276 6408 14706 29890 17 9 61 12 0 2022-04-17T13:38:57
10 0 0 34 4 383 0 0 1812 4848 15195 30577 42 12 39 7 0 2022-04-17T13:38:58
2 0 0 29 4 389 0 0 476 4768 14578 29938 38 10 48 5 0 2022-04-17T13:38:59
